"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4979","Успешное создание рецепта","tests","Fri Mar 27 08:51:41 UTC 2026","passed","Fri Mar 27 08:51:46 UTC 2026","TestCreateRecept","test_create_recept","",""
"","2697","Успешное создание пользователя","tests","Fri Mar 27 08:51:35 UTC 2026","passed","Fri Mar 27 08:51:37 UTC 2026","TestCreateAccount","test_create_account","",""
"","2380","Успешная авторизация пользователя","tests","Fri Mar 27 08:51:39 UTC 2026","passed","Fri Mar 27 08:51:42 UTC 2026","TestLoginAccount","test_login_account","",""
