"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3155","Успешная авторизация пользователя","tests","Sun Mar 22 17:38:57 UTC 2026","passed","Sun Mar 22 17:39:00 UTC 2026","TestLoginAccount","test_login_account","",""
"","3108","Успешное создание пользователя","tests","Sun Mar 22 17:38:56 UTC 2026","passed","Sun Mar 22 17:38:59 UTC 2026","TestCreateAccount","test_create_account","",""
"","5939","Успешное создание рецепта","tests","Sun Mar 22 17:38:59 UTC 2026","passed","Sun Mar 22 17:39:05 UTC 2026","TestCreateRecept","test_create_recept","",""
