"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2864","Успешное создание пользователя","tests","Mon Mar 30 11:21:39 UTC 2026","passed","Mon Mar 30 11:21:42 UTC 2026","TestCreateAccount","test_create_account","",""
"","2980","Успешная авторизация пользователя","tests","Mon Mar 30 11:21:40 UTC 2026","passed","Mon Mar 30 11:21:43 UTC 2026","TestLoginAccount","test_login_account","",""
