"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3138","Успешная авторизация пользователя","tests","Fri Mar 27 09:52:32 UTC 2026","passed","Fri Mar 27 09:52:35 UTC 2026","TestLoginAccount","test_login_account","",""
"","2912","Успешное создание пользователя","tests","Fri Mar 27 09:52:31 UTC 2026","passed","Fri Mar 27 09:52:34 UTC 2026","TestCreateAccount","test_create_account","",""
